image,label,detail
20260728_142103.jpg,1,Thông thoáng
20260728_142103.jpg,1,Thông thoáng
20260728_142405.jpg,1,Thông thoáng
20260728_142415.jpg,1,Thông thoáng
20260728_142425.jpg,1,Thông thoáng
20260728_142435.jpg,1,Thông thoáng
20260728_142214.jpg,3,Đông
20260728_142224.jpg,3,Đông
20260728_142254.jpg,3,Đông
20260728_142525.jpg,3,Đông
20260728_142535.jpg,3,Đông
20260728_142556.jpg,3,Đông
20260728_142304.jpg,1,Thông thoáng
20260728_142314.jpg,1,Thông thoáng
20260728_142335.jpg,1,Thông thoáng
20260728_142455.jpg,1,Thông thoáng
20260728_142505.jpg,1,Thông thoáng
20260728_142515.jpg,1,Thông thoáng
20260728_142746.jpg,1,Thông thoáng
20260728_142756.jpg,1,Thông thoáng
20260728_142726.jpg,1,Thông thoáng
20260728_142133.jpg,1,Thông thoáng
20260728_142154.jpg,1,Thông thoáng
20260728_142706.jpg,1,Thông thoáng
20260728_142716.jpg,1,Thông thoáng
20260802_081743.jpg,1,Thông thoáng
20260802_081723.jpg,2,Trung bình
20260802_081733.jpg,2,Trung bình
20260802_081803.jpg,2,Trung bình
20260802_081914.jpg,1,Thông thoáng
20260802_081944.jpg,1,Thông thoáng
20260802_081934.jpg,1,Thông thoáng
20260802_082004.jpg,1,Thông thoáng
20260728_142113.jpg,3,Đông
20260728_142204.jpg,3,Đông
